"","state_cens","sector","nobs","empl","member","covered","pctmem","pctcov","state2","unioncovpct_state","idvarstate","state","year","robotpct_state","stateyear","medianhouseinc","unemprate","femalepct","manufemp","healthins","oldage","wage_state"
"33",21,"Total",6427,8407048.88100833,1873880.013325,2028340.967175,0.222893908619881,0.241266697645187,"NY",24.1266697645187,"New York-2018","New York","2018",17.2,"New York-2018",67.844,5,58.6,5.8,94.6,11.8,51.9816
"34",56,"Total",3485,4329529.410175,117060.495625,172779.582883333,0.0270376950502396,0.0399072431027889,"NC",3.99072431027889,"North Carolina-2018","North Carolina","2018",18.8,"North Carolina-2018",53.855,5,57.5,12.3,89.3,8.7,46.1708
"35",44,"Total",2498,342476.101841667,17907.25275,22993.219825,0.0522875972092152,0.0671381726861,"ND",6.71381726861,"North Dakota-2018","North Dakota","2018",36.3,"North Dakota-2018",63.837,2.8,64.5,7,92.7,10.3,46.6416666666667
"36",31,"Total",4104,5053712.21864167,639908.854916667,722137.295625,0.126621544361115,0.142892450094223,"OH",14.2892450094223,"Ohio-2018","Ohio","2018",32.5,"Ohio-2018",56.111,4.9,59,15,93.5,8.6,47.182
"37",73,"Total",2267,1585657.69125833,90113.5600916667,117567.247158333,0.0568303987383842,0.0741441547870636,"OK",7.41441547870636,"Oklahoma-2018","Oklahoma","2018",26.2,"Oklahoma-2018",51.924,4.4,56.1,9.7,85.8,8.7,46.0392
"38",92,"Total",2274,1740902.429575,241150.429291667,255192.629425,0.138520359992981,0.146586403250694,"OR",14.6586403250694,"Oregon-2018","Oregon","2018",21.4,"Oregon-2018",63.426,5,58.1,11.3,92.9,7.9,49.57
"39",23,"Total",4424,5582103.53509999,700129.924766666,747836.655966667,0.125424027442932,0.133970409631729,"PA",13.3970409631729,"Pennsylvania-2018","Pennsylvania","2018",20.6,"Pennsylvania-2018",60.905,4.9,58.7,11.7,94.5,8.3,49.2512
"40",15,"Total",1604,479726.554674999,83165.456825,88538.1714416667,0.173360124230385,0.184559658169746,"RI",18.4559658169746,"Rhode Island-2018","Rhode Island","2018",14.2,"Rhode Island-2018",64.34,5.5,60.1,10.9,95.9,11.2,53.1863636363636
"41",57,"Total",2381,2015923.22088334,55368.6806,71816.1617,0.0274656694382429,0.0356244519352913,"SC",3.56244519352913,"South Carolina-2018","South Carolina","2018",24.4,"South Carolina-2018",52.306,5.3,56.3,13.4,89.5,9.5,46.0895833333333
"42",45,"Total",1961,387490.143583333,21700.51755,27474.3539083333,0.0560027584433556,0.0709033608436584,"SD",7.09033608436584,"South Dakota-2018","South Dakota","2018",31.2,"South Dakota-2018",56.274,3,64.8,10.1,90.2,9,39.5457142857143
